text,label
Rahul jisko public mein hona chaiye woh gaayab hai n Anna jisko gaayab hona chaiye woh public mein hai .. #irony #AnnaReturns #WhereIsRahul,1
RT @BeingKushSharma Hey bhagwaan Kal ka Match Rahane ko khelne dena varna cricket dekhna chhod duga :( pic.twitter.com/jlw7x0OppK,0
"Waise bhi BJP ko to gaaye ke naam par hattya or triple talaq aur jumle baaji se furshat Kaha, thoda bahut kaam par bhi dhayan delo",0
ek 8 pointer ko lagta hai ki uski cpi meri vajah se acchi. main khud ko inspire nahi kar paaya! #irony #iit,1
Bharti Media MS Dhoni Par Baras Parre MS.DH0NI Ameer Bane k liye Cricket Khil rahe hn Bharat me Ghareebon ko team se nazar andaz kar rahe he,0
Jalne ki badbu aa rahi hai beef band hai triple talaq band aur halala ki dukan bhi kya kare bibi ki hi mil jaye to eid man jaye,0
...A Kind Reminder... aaj pooray 3 mahinay ho gaye hain. #Cricket #KohliNhinHogaTujhSeChasepic.twitter.com/60F5a6UsSj,0
Bhai sahi saval hai aap ka aaj itna bura lag raha hai aise sirf politics ke liye desh ke Army man ko 9 yrs wait jail or abhi bhi beghuna nai,0
To maa hi samajh le farjana ji. Aakhir Pakistan hamse hi to nikla hai. Rahi baat cricket ki kitni Baar haar chuke ho paki.,0
Bhai Itna mushkil ho raha jeena toh kisi aur country me bas jaao. Aur agar triple talaq Case jeetna hai hai toh supreme court jaao.,0
Sharm kar Bhai yahan bacche Mar gye Aur  us Par bhi aap politics kar rahe ho bura mat Manana but Ye lafj abhi ke lie  upyukt nhi hai,0
Cricket ke Bhagvan..love you Sachin...Aaj bhi lagata hai ki India ki mach hogi to Sachin hi India ko jitwayega...,0
Hosh kar @ECB_cricket #ENGvWI,0
Triple talaq par Rai ?,0
Matti say bana hua insan aj dust allergy ka shikar ha :p #Irony,1
Bhai raat ko tv dekhna... Sirf politics hi hogi... Modi ko laya jayega bich me.. New India ka nara  Laya jayega,0
@MTVIndia kal aapne #ifm nai kiya aur aaj karoge toh mai available nai hounga. #irony,0
@kamaalrkhan ye dekh C  Aise hote he superstar @superstarrajini Bollywood me koi he? Us twitt ke liye aaj bhi gali dene ka man karta he... pic.twitter.com/7uGdO4hA6u,0
Tuje acchse janta hu. Tuje kabhi profit nahi hota he tip me par loss pakka hota he. Cricket insider ki bahot tarif karta tha na to ja US ko,0
"@Shehzad_Ind ALLHA hum sharminda hai, burka ke bina ye jinda hai. Jai Isis, triple talaq, halala,72 hoors. #Istandwithabhijeet",0
"Koi kutta bhi nahi puchta tuje, bhojpuri film me kam kar shayad waha koi tuje pasand kare! Bollywood me tuje ramu kaka ka roll bhi nahi dege",0
"BLB 123/8 (18 ov), Summary: Nikin Jose 55(33), Shivam Mishra 17(16). Bhavesh Gulecha 3/21, Prateek Jain 3/30. #BLBvBEL #Cricket ADMIN: Nijam",0
DULHE KA SEHARA SUHAANA LAGTA HAI #dhadkan #bollywood pic.twitter.com/Dc98O0DgFX,0
Bhav khatam ho Gaya hai..aajkal sirf politics wale pe tweet ata hai.,0
Yaar Tickets hi nahin hai 4000 ka mila hai aaj 5 hazar mai. India main 200 ka bhi acha ticket mil jata hai. Aise cricket nai hoti,0
Nakli deshbhakti aur maa ka pyaar hai jo apne sagi maa pe politics khel skta hai line mein khada krwakr to usse aur kya ummeed ki jaa skti h,0
Ye sab bato pe hi rahega kya  Idhar log pareshan hain badh se aur Aaplogo ko politics dikhai de rha hain,0
"@MamataOfficial ji, aapki politics par to thookane ka mann bhi nahi karta. Bengal k log kya se kya ho gaye? Shame on u",0
bhagwan ki baat karti athma hahaha.... #irony RT @BhataktiAthma Ye Bhagwan shiv ke paas chillum kaha se aaya ?,0
"Khud bolte ho Yadav muslim Bhai bhai. Phir itni takleef kyon? Madrase jao, namaz padho, halala karao, triple talaq do. Sharia me chalta hai",0
#Tripletalaq  ki aad MEIN #Gorakhpur #muzzafarnagar #chhattisgarh ek tripletalaq in sub per bhari hai #DALALMEDIA,0
"#nowplaying  Zindagi ke safar mein guzar jaate hain jo muqaam..... woh fir nahi aate,woh fir nahi aate :\ #lifeisharsh",1
@ sir ache se janje hai politics kya hota hai. Shalakhe film me unke sath kya huwa tha. Phir bhi BJP ka saport karte. Jai ho,0
@MohammadKaif jahil jaise baat mat kar #TripleTalaq,0
Main paida hi Hot Hui thi #Bollywood #RadioCity #Gujarat #AliaBhatt,0
Ek debate program me inhone Kaha tha ki Yogi Jaise Sanki ko Party se Nikal do. Ab Yogi inka role model hai. Politics kya kya na karwaye.,0
@FatimaAmeer roz na nahao toh hojata he. :-P #Sarcasm,0
Tera triple talaq jaldi hi hone waala hai behen,0
"#bhagwan bhi logon ko kitna satate hain. Beech road par aake thair jaate hain! #religion, #irony, #india, #local",0
@MaamaaMiiaaa Han han dekhi hai mene bohat hai bhyi :D #Sarcasm,0
Lahore cricket kya host kar raha hai Lahori dash se agay bhaag rahay hain.,0
#gaddafistadiumlahore  Aj ronaken bahal  #Cricket,0
"Islam khatre main nahi, Islam ke naam par dukan chalane wale politics karne wale khatre main hain.",0
Ye Baat nehi Triple Talaq ki Ye ladhai hei.. Burkha aur Topiwaloki.. Badhali aur Badimaanki Mazlum aur darindegiki..,0
Ye to hui har kisi ko mauqa dene ki baat.....  Mohalle ki cricket team.....,0
@OfficeOfRG  Bhai ek ehsaan kar politics rehne de..BEd kar le ...bachoon ki naak saaf kariyoo..,0
Bhaiya real match hai koi book cricket nahi ki century ho gayi to double bhi ho jaayegi,0
Streegal UPyil okke triple talaq karanam karayunna drishyam kandila ennu nadikalle.pinne ee Arabi kalyanam parayandallo.idunno ee FREEDOM,0
Sochna Bhi Nahi... #TripleTalaq #Appreciated @danikbhaskar @abpnewstvpic.twitter.com/hwkInuAZyt,0
"Chal pagle72 hoor ke sapne Dekhne Wale,pahle ye pata kar ki tu triple TALAQ ki 4th product hai ya HALALA ki dono me se koi to hoga hi.",0
"abay gaandu, Triple Talaq ki behas 80 saal puraani hai, modi tabhi paida bhi nahi hua thaa. aur sun, Modi toh khud mulla hai ghanchi mulla.",0
.#Bollywood #Hollywood mey farak hai,0
Iskaa matlab @laluprasadrjd n family ke din gaye ab uskay bacche bhi badh nahin payengay politics mein.,0
"Aaj aap Ram Dev baba Ko hi dekh lo, sirf sirf BJP aur Modi ke chalte hero ban Gaya.. yah bhi ek politics hai",0
Muhjay bhi cricket aur siyasat baqi music bhi sun leta hon kbhi kbhi koi movie dekh leta hon baqi apna kam,0
Ghar ki murgi daal barabar :D #Irony,1
"aree vaiya, rohit sharma aur shikhar dhawan alag alag admi hai aur cricket khelte hai.. sab ek kardiya apne",0
#Bollywood ki jai.#indiapic.twitter.com/nSuPZGI74M,0
Ajeeb see baat ha jab s nawaz sharif ki hukomat khatam hoi to damaky start ho gye or is bar unk neshny p hmri pak army?gandi politics start,0
POLITICS DESH KE BACHHO AUR YOUNG PERSONS SE ALAG HONEE CHAHIYEIN.  HUM SAB BHULKAR POLITICS KARNE LAGTE HEIN. YAHEE HAMARI KAMEE HOTEE HEIN,0
Aap wahid Pakistani hain jisse mein jaanti hoon jo cricket nahi dekhte,0
Pakistan se harne ke baad to cricket dekhna hin chod diya   Ab sirf #ProKabaddi #patnapirates,0
@aamir_khan sir asahishnuta pe aap bebak rai rakhte hai. Triple talaq halala ispe kya ho jaata hai aapko? Apne views rakhiye.,0
@sardanarohit sir aapne last two week se ek bhi din job ke liye debate ki ho.#TripleTalaq subjudice haiBut Apne toh Apne judgement dene lage,0
hahaha jo 2 rupay log @kamaalrkhan jese hote hai woh log world's 2nd Raeesjada star ke baare me bolte hai!! #irony,1
"Na afsos hai tujhe sahab na koi sharmindagi hai, Guzar rahi hai jo gunaahon mein yeh kesi zindagi hai.. @Daiianeplis #sarcasm @REG_ular",0
"The #IRONY of a loksabha #Speaker is that he/she can't speak..not more then ""bhaith jaiye"" or ""shaant hojaiye"" :P ;)",1
jese 30 hindu funduos ko goli mare gai hai waise triple talaq ko defend karne walo ko goli  maar deni chahiye Kya rai hai,0
ChaCha T20 CriCkeT (MonCho Wala) Ka Apni 2 Segi BhetiyoN K Sath 6 Maah Sy ZiyaDati. Bacho Ki Maan Ki ReporT Par Gerftar. - #RPT: S_FarHaDi,0
inka ek mantri to ration card banake bhi jail gaya hai.  #sarcasm #aaprationcardparty,1
Umar ho gayi hai. Shayad bhool gaye ho. 2 months back riots killed people in Bashirhat. Tab Kahan thay Aap? #TripleTalaq bachaa rahey thay?,0
"Sir ji Aaj ki speech kisi purane writer me likhi hai kya sab kuch purana hai triple talaq, job creator",0
Ji bilkul...bjp htakar congress ko power m lao...qki desh ko modiji se jyada rahul gandhi ki zarurat hai...#sarcasm,1
Han aur ye baat pura Bollywood bhi jaanta hai  Lekin jo hua so hua ab yaad mat dila bhai,0
Bollywood 2009 - Dil to bachcha hai ji 2017 - Dil ullu ka paththa hai 2020 : Dil kutte ka bachcha hai,0
Congress me bhi ab aggressive politics karte Up me akhlesh Bihar me tejashvi Mp me sindhiya MH me ap Hila diye h pure bihar ko tejshvi ne,0
Pak k aik baray hospital k owner hotay huye DrAsim uncle ko khud bahar jana par rha hai apnay ilaaj k liye  #irony kahein ya #khulatazaad,1
+10000000000000000000000000 Daridrapugotu politics Thatha chesarani manavadu cheyyalani em ledhu ga Asalu avarasaram ledhu mushti rajakeeyam,0
Aap logo se bahut ummid hai. Jaan maal ka nuksan na ho or shaanti bani rahe. Vote ki politics baad mai bhi hogi.,0
Jo kabhi ram setu ko na maante the.. Aaj unhi ka Sahara le rahe hai court me #TripleTalaq #shameonyou,0
Yaar pehle ye batao itne hawasi kyon ho k 4 rakhte ho?Phir bhi triple talaq aur halala ka drama?,0
apni rajkiy rotiya sek ne pahuch gaya chutiya . ab zaher ugle ga press conference kar ke.apne malik ka vafadar kutta.yaha per bhi politics,0
"The idea of leching, groping & molesting was validated with 'Socha hai ki tumhe rasta bhulaye..suni jagah pe kahi chhede daraye.. #bollywood",0
"Insb buniyadi mudde pe koi debate nhi hoti,,hogi to bs Hindu Muslim ,mandir masjid,beef,Baukha,triple talaq,ghar wapasi,love jihad,",0
Love Ko aaoga Mai tujhe lejaoga Mai #Bollywood #LovePinkLace #song @shubham876542,0
Acha ye baat to maan ni padegi ki tum log galat karte rehte ho Triple Talaq ho ya bakra eid tum logo ko buri bahut jaldi lag jati h,0
"Abbe jab Khujliwal apne bacche ki kasam kha ke jhoot bolta hai , ke woh politics me kabhi nahi aaega. Toh, usko pucha tha ke jhoot kyu bola?",0
Bhai tujhe nahi lagta ke tera politics me kuch jyada hi interest aa raha hai?,0
"Sunio bhai mediakarmi,uri,pathankot,kupwara,sukma,fayaz in sab se triple talaq bada hai kya??",0
Rakhi Sawant & Shakti Kapoor are trending together :D #Irony *O sathi challl*,1
"18 August 1958 Do Phool - Bipin Gupta, Baby Naaz, Romi. #Song  - Dur Andhera Hua Mast Savera Hua.. #Bollywood #films #nostalgia #memoriespic.twitter.com/MNhPCXgWUV",0
#mla #mp khreedte khreedte #oxygen khreedna bhulge #bjp @PMOIndia #politics #aap #YogiAdityanath #indian #up #,0
Hamari Politics Partiyon ne Pakistan or Bengladesh se kuch ni  Seekha...dekho jha jha Muslim jyada hote hai wha Hindu ka ky haal hota hai,0
Zindagi ki yahi reet hai  Yaar ye Sunday ko bhi politics tweetne waale kitne dheeth hai.,0
Rahul ke aage kyon nahi soojhta? Iss mulk mein talent ki kami hai kya? Kuch naya dhoondo jo politics ke ooper ho. Shayad Marshal law,0
Pakistani sabiq leg-spinner Abdul Qadir ne kaha hai ke qoumi Cricket team ko World Eleven ke khilaaf series ko aasan na samjha jaye#AnSaR,0
Oh triple talaq ham log to pehle se hi triple talaq ko bura mante he,0
"Kyoki Aplog ko pata h vote kaise Lana h ......( triple talaq,Ram Mandir,jai Shriram ,jai jwan? Etc",0
Rahul Gandhi: Mummy ka naam bhi hai kya? #RamRahimSingh #Politics #pappu,0
Politics le doob rahi hai #Indvpak match ko  Jab pak se vyapar ho rhe hai lagatar log aa ja rhe hai tog sirf match khelne me hi dikkat kyo?,0
"dhanyawaad aap sabhi ko ,tweet pasand krne ke liye #viralsach #SupremeCourt #TripleTalaq",0
Bilkul.. hamaare muh ki baat chheen lee.. Akhilesh aur Mayatattee ko shaadi kar leni chaahiye.. dimple to chhod do triple talaq bolkar,0
Ye log Dharam k Naam pr logon ko ladate h or kuchh gandi soch k log inki baaton main phas jate h isi ka Naam h politics,0
Wo Tasveer Lakhon Mein Bik Gayi....  Jis Me Roti Ke Bagair Bachcha Udaas Tha!! #Shair #Irony,1
Yaar ek ehsaan mujh par karna ki mujhpar koi ehsaan mat karna   #Dialogue #Bollywood,0
saala yeh bhi corrupt ho jayega politics mein jaa ke!! @SirJadejaaaa bhai tu yehi theek hai,0
"Janab @sureshpprabhu good morning! Sarkar ho, kaam kar ke dikhao. Sapne to Bollywood bhi dikhata hai, woh bhi bade parde par. Kya samjhe? ;)",0
Ar kitni baar tune awaz uthayi triple talaq k against. Halala k against. Phle apne dharm ko sudhaar phir bolna kisi hindu k khilaaf,0
I can see u r weak in maths..aap ne giri huyi rajniti ginayi abhi tk jo casteism wali hai..koi bat ni bhajpa ka ye job hi hai caste politics,0
BANCHOD JAB BHEED IKHTA HO RAHA TO RANDIBAZI KARNE GAYE THE HARAMI TAB BHEED NAHI BHAGA SAKTE THE VOTE BANK POLITICS BHOOL KE @PMOIndia,0
assurance to is bat ki bhi nahi ki tere abba teri ammi ko kal triple talaq denge ki nahi email pe...chal bhag ab gareeb ki aulad,0
tum Chutiyo khangressio ko ye nehi lagta ki China hat gya kyu ki uski maa behn sab ek ho gye hai!!! yah abhi politics kerne aa gye suwar,0
@akshaykumar - Aage badho hum tumhare saath hain. Awards walo dekho. Bollywood aap pe hi tika hai baki toh sab aajkal flop de rahe hain  pic.twitter.com/yolztgwmlF,0
#asktheexpert @espn_cricket Manish pandey or rahane?,0
"Rashmidi aaj to mamtaji khub royengi kyu ke SC ne #TripleTalaq ko ban kardiya, ab woh politics kaise karengi",0
Triple talaq pr AIMPLB ka virodh kaisa rhega.,0
Golden Era of bollywood 2010-2016 Now end... Jisme film or star ke naam pe kuch bhi chal jata.. ab nahi chalega.. Achha lao nahi to jao..,0
Triple Talaq Diye ka ???,0
@SPN_Cricket Vivek Razdan kya free me commentary karte hain ?,0
Chayawadi baat kyu kr rhi hai madam aap..khul kr condem kegeye..mere smjh se administrator ko politics se dur rhna chahiye..desh ke liye,0
Tune jo bola samajh aaya par baat yahi hai k ldkiyon k saath nainsaafi crime hai law mein tumhare yahan triple talaq crime tha hi nhi isiliy,0
Maulvi sahab Keh rahe hai #TripleTalaq galat hai lekin hota rahega,0
Itne bade bade batting star hone ke baad bhi Indian cricket team ko Dhoni se dhulvani pad rahi hai. #INDvAUS,0
kaun se soch samantwadi hai?? batana zara.... Kab caste politics kiya hai....jaise lalu ne khul kar Yadav jaati par politics kiya hai?,0
dada mujhe lagta hai sayad bollywood v kabhi aisi film nehi bana sakta hai!!!agar kar pata to ab tak bana chuka hota...thik bolchhi to dada?,0
"dholi taro dhol baje, dhol baje  #Garba #Bollywood #Gujarat #RadioCity #Navratri #Navratri2017 #NavratriSpecial",0
Logo ki demand hai resign to magiye aapki party hai na waha par aap bhi politics kar rahe hai amit shah..milke ke bus vote ke .,0
@AnjumKiani aik pagal hi pagal khanay ko shadi ghar bana sakta hay. #PPP #Pakistan #Irony,0
"Film Kabhi Khushi Kabhi Gham' Ki Nanni Maloveka RaaJ Bollywood Mein ENTRY K Liye Tayar, Film Ceptain Mein Imran Hashmi K Sath Heroin HoGi,",0
Well said. Hum kahi nahi jayenge. Aur hamai triple talaq se bhi azadi chahiye,0
Bollywood ka kutta tujhe toh Hindustan me Dr lagta hai naa  yaad kr sunny deol ne  tujhe kaise Dr dikhaya ab  merit baari,0
Wahan nahin barasti jahan zarurat hoti hai yahi toh God bhi politics kheltey hain,0
Jab aur koi mudda na bache..jab desh me oxygen ki kami se masoomo ki jaan jaye..to politics kaise khele..chalo Triple talaq ka bolte hain,0
Pakistani Politics aur governance par 70 saal se amalan kis ki baladasti aur hakmiyat qayim hai?,0
"Ishq Ko Kyu Badnaam Karte Ho Duniya Walo, Jab Mehboob Hi Tumhara Chutiya Tha.. #sarcasm #sarcastic",1
Mem ye acha nahi huva bahot hi badi laparwai abb koi ek masum bacha na mare yahi duwa karta hu.... Ye sab party politics kar rahi hai...,0
Tum Rohit ko sikhaoge Kaise cricket khelna hai??,0
kash kuchh match  politics k bh khel liye hote. to aaj sabd  dusre hote,0
"Teri unchi ataari , maine pankh liye katwaye .. #Irony #NowPlaying",0
Charan Gadhvi Cricket Tournament 2017 Vadodara. Gujarat & Maharashtra pic.twitter.com/Ux0hZpd6Y9,0
AB MUUT PAR BHI POLITICS HONE JAA RAHA HAI .KEWAL JANE SE KYA HOGA UN GARIB LOGO KI HELP KIGIYE APNI PARTY FUND SE TAB JANTA KO ACHHA LAGEGA,0
