original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
11-year-old moron can't wait to get her first period,,11 साल की बेवकूफ अपनी पहली पीरियड पाने के लिए इंतजार नहीं कर सकता,पहला IPL विकेट लेने से सबसे कम उम्र के खिलाड़ी,0.6058693
one-year-old still waiting for father's first words,,एक साल का बच्चा अभी भी पिता के पहले शब्दों की प्रतीक्षा कर रहा है,एक बेटे को अपनी मां की आखिरी इच्छा पूरी करने से नहीं रोक सकता...,0.609716
outfit just screams police officer,,पोशाक सिर्फ पुलिस अधिकारी चिल्लाता है,शानोशौकत देख दंग रह गए पुलिस अधिकारी,0.61519694
"several probably killed in shooting, lazy police report confirms",,"कई संभवतः शूटिंग में मारे गए, आलसी पुलिस रिपोर्ट पुष्टि करता है",-हत्या के मामले में कई आरोपितों ने न्यायालय में पहले ही कर दिया था समर्पण,0.6116923
infants piling up at orphanage's old address,,अनाथालय के पुराने पते पर बच्चे ढेर हो रहे हैं,-सुप्रीम कोर्ट के निर्देशों की अवहेलना कर चाइल्ड होम में रखे बच्चे,0.6105971
mom learns about new vegetable,,माँ नई सब्जी के बारे में सीखती है,भूमि ने क्या-क्या सीखा नया,0.6747266
study finds no logical reason why planes fly,,अध्ययन में कोई तार्किक कारण नहीं पाया गया है कि विमान क्यों उड़ते हैं,"एयरलाइन का कहना है कि उन्होंने आरोपी पायलट की पृष्ठभूमि की जांच की थी लेकिन उन्हें कोई क्रिमिनल हिस्ट्री नहीं मिली, जिससे उसे कमर्शियल पायलट बनने के लिए अयोग्य ठहराया जा सके।",0.6466424
teen weirded out after running over english teacher outside of school,,किशोर स्कूल के बाहर अंग्रेजी के शिक्षक को चक्कर लगाने के बाद अजीब हो गया,स्कूल छोडऩे के बाद भी कर रहा था परेशान,0.62149143
report: climate change to force people to double ice cream consumption speed by 2050,,रिपोर्टः जलवायु परिवर्तन 2050 तक लोगों को आइसक्रीम की खपत की गति दोगुनी करने के लिए मजबूर करेगा,पहले से कहीं ज्यादा लोगों को आज तेजी से हो रहे विकास और उत्पादन की वजह से पर्यावरण पर पड़ने वाले नकारात्मक प्रभाव के बारे में अधिक जानकारी है. संयुक्त राष्ट्र पर्यावरण कार्यक्रम(यूएनईपी) चेतावनी देती है कि अगर ऐसे ही उपभोक्ताओं की आदतों में वर्तमान दर से विकास होता रहा तो हमारी खपत की दर साल 2050  तक तिगुना हो जाएगी.  अगर स्पष्ट शब्दों में कहा जाए तो इसका मतलब यह है कि विश्व के पास उस तरह की खपत के लिए संसाधन नहीं होंगे.,0.6339781
non-denominational terrorist organization welcomes extremists of all faiths,,गैर-धार्मिक आतंकवादी संगठन सभी धर्मों के चरमपंथियों का स्वागत करता है,दुनियाभर में आतंकी हमले की कड़ी निंदा,0.62023443
"trump thanks supporters who sacrificed time, money, friends, family, morals, religious beliefs to be here today",,"ट्रंप उन समर्थकों का शुक्रिया अदा करते हैं जिन्होंने समय, धन, मित्रों, परिवार, नैतिकता, धार्मिक विश्वासों का त्याग करके आज यहां उपस्थित हुए हैं।",इस अवसर पर प्रधानमंत्री नरेंद्र मोदी ने ट्वीट कर कहा है आज का दिन आतंकवाद के खिलाफ मिलकर लड़ने और मानवता के लिए खतरनाक चीज को पूरी तरह से समाप्त करने को लेकर प्रतिबद्धता की पुष्टि करने का दिन है। पीएम मोदी ने कहा कि हम उन वीर जवानों और अधिकारियों को सलाम करते हैं जिन लोगों ने देश की सुरक्षा के लिए अपने प्राण न्योछावर कर दिए। वे ही हमारे असली हीरो हैं। हम उस दिन को याद करते हुए उन लोगों को श्रद्धांजलि अर्पित करते हैं जो इस आतंकी हमले में मारे गए थे।,0.6324027
