original_english,translated_hindi,original_rephrase
The only thing I got from college is a caffeine addiction,केवल एक चीज मुझे कॉलेज से मिली है एक कैफीन की लत,"College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. "
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,मुझे यह पसंद है जब प्रोफेसर एक परीक्षा पर मेरे जवाब के बगल में एक बड़ा प्रश्न चिह्न खींचते हैं क्योंकि मैं हमेशा हाँ मैं नहीं करता हूँ,I do not like when professors don’t write out specific notes on my answers to exams.
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,जब कोविड वास्तविक हो रहा था तब कंपनियों के सैकड़ों ईमेल याद है? मुझे विरोध प्रदर्शनों के लिए समर्थन के संबंध में तीन मिले हैं। और केवल @SavageXFenty ने उपयोगी लिंक साझा किए और वास्तव में कहा कि काला जीवन मायने रखता है ... हम पूंजीवाद से प्यार करते हैं 🥰🏼,"I, at the bare minimum, wish companies actually cared about marginalized communities. At the max, that our capitalistic society is dismantled. "
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,आज मेरे पोप-पॉप ने मुझे बताया कि मुझे कॉलेज जाने के लिए मजबूर नहीं किया गया है,"Today my pop-pop told me I was not ""forced"" to go to college. That's not true."
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.","@VolphanCarol @littlewhitty @mysticalmanatee मैंने भी ऐसा किया, और मैंने यह भी बताया कि कैनकून क्रूज अपने मतदाताओं के दिल की धड़कन के बारे में चिंता नहीं करता था जब वह मैक्सिको भाग गया था।",I would say Ted Cruz is an asshole and doesn’t actually care about people/babies/fetuses. He just wants to wage a war on women and keep the patriarchy in power.  
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.","@jimrossignol मैं इसे ""एक्सडी"" के रूप में व्याख्या करना चुनता हूंः उबिसॉफ्ट के विपणन विभाग में उन गरीब, गरीब लोगों पर हंसने के लिए सार्वभौमिक इमोटिकॉन जिन्हें उस ब्रांडिंग से निपटना पड़ता है जब तक कि सर्वर लॉन्च के 8 महीने बाद चुपचाप बंद नहीं हो जाते।",It's a terrible name and the product sounds awful.
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,अलेक्सा का यॉर्कशायर पुडिंग रेसिपी भाजी यॉर्कशायर पुडिंग क्यों होगी? @bbcgoodfood,Great recipe from Alexa
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,किसी ने मुझे एक घोड़े के शांत करने वाले से मारा है मैं 6 घंटे के लिए एक पूल में पसीना रहा हूँ और मैं कभी नहीं सोया हूँ मैं इतना थक गया हूँ लेकिन मैं अपने दोस्त से बहुत प्यार करता हूँ और ओह मेरे fucking भगवान मैं नहीं कर सकते,Simply “I’m miserable.”
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,#DonaldTrump #Trump #MAGA #MAGA2020,this last year of trumps presidency is not going too well
Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,हॉली अर्नोल्ड ??? कौन है #ImACeleb #MBE नहीं यकीन नहीं है ओह रखो आप मतलब एमबीई हाँ वह है !,"Holly Arnold seem like a nice lady, just feel that keeping on about having an MBE may start to annoy her fans."
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd","किसी भी पेंशनभोगी और 4 साल की उम्र के जो मुझे डायनासोर थीम वाले पागल गोल्फ पर पकड़ने की हिम्मत करेंगे, क्रश किया जाएगा, क्रश किया जाएगा, मैं आपको बताता हूं। https://t.co/yZlafy0lsd","Had a great time playing crazy golf with the family, and I won!"
See Brexit is going well,देखो ब्रेक्सिट अच्छी तरह से चल रहा है,Brexit really isn't going to plan.
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,बस आज के कोप के लिए सभी को बधाई देना चाहता हूँ सबसे तेज़ कभी के लिए गरीब स्काउजर टॉमी. धीमा कमबख्त,Can we not sing poor scouser tommy abit slower instead of super fast
do i just blast maneskin to get hyped for my osce or??,क्या मैं सिर्फ अपनी हड्डी के लिए प्रचारित होने के लिए मोनोस्किन ब्लास्ट करना चाहिए या?,"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe."
